AnnualIncome,SpendingScore
15000,20
18000,25
21000,18
23000,30
25000,22
27000,28
29000,35
31000,26
33000,32
35000,24
37000,30
39000,38
41000,27
43000,35
45000,31
47000,29
49000,40
51000,34
53000,37
55000,42
17000,75
19000,82
21000,78
23000,88
25000,80
27000,91
29000,85
31000,79
33000,94
35000,87
37000,92
39000,83
41000,89
43000,95
45000,86
47000,90
49000,96
51000,84
53000,91
55000,88
57000,82
59000,86
61000,90
63000,85
65000,93
67000,88
69000,91
71000,87
73000,94
75000,89
77000,20
79000,25
81000,18
83000,30
85000,22
87000,28
89000,35
91000,26
93000,32
95000,24
97000,30
99000,38
101000,27
103000,35
105000,31
107000,29
109000,40
111000,34
113000,37
115000,42
117000,24
119000,29
121000,35
123000,27
125000,31
127000,38
129000,33
131000,26
133000,40
135000,30
137000,36
139000,28
141000,34
143000,25
145000,39
147000,32
149000,37
151000,29
153000,35
155000,41
157000,27
159000,33
161000,30
163000,36
165000,24
167000,31
169000,38
171000,28
173000,34
175000,40
15000,80
18000,85
22000,90
26000,78
30000,92
34000,87
38000,95
42000,83
46000,89
50000,97
54000,86
58000,91
62000,88
66000,94
70000,82
74000,96
78000,90
82000,85
86000,93
90000,87
94000,91
98000,84
102000,89
106000,95
110000,86
114000,92
118000,88
122000,94
126000,90
130000,97
134000,85
138000,91
142000,87
146000,93
150000,89
154000,95
158000,86
162000,92
166000,88
170000,96
20000,45
28000,52
36000,48
44000,55
52000,43
60000,50
68000,47
76000,53
84000,49
92000,56
100000,44
108000,51
116000,46
124000,54
132000,42
140000,50
148000,47
156000,53
164000,45
172000,52
30000,65
45000,70
60000,62
75000,68
90000,64
105000,72
120000,66
135000,74
150000,63
165000,69
40000,10
60000,15
80000,12
100000,18
120000,14
140000,20
160000,16
180000,22
200000,19
220000,24
